Source,Target
276540738,697921373403029505
276540738,1006925180877398016
276540738,722713420706029569
276540738,1299093418610692097
276540738,1581367542811353089
276540738,1352301442464423943
276540738,2183484125
276540738,1581971222874755072
276540738,1425985469247012867
276540738,1572886060291731458
276540738,1581964982362984449
276540738,1545267271618088960
276540738,1581957495584886786
276540738,1579526379842011136
276540738,1581954108055080960
276540738,418974921
276540738,1578336850221096960
276540738,1543734083674484737
276540738,343792470
276540738,1581950218547134465
276540738,1581834102117916674
276540738,1581946810251231232
276540738,1508721618084044805
276540738,1512047396586651649
276540738,776496045098405888
276540738,1581944902048522242
276540738,1479335958470299648
276540738,1580744796129611777
276540738,1581939750675570690
276540738,1581748908648169474
276540738,228708511
276540738,1157016057124741121
276540738,1570743914877059073
276540738,1475066762848657414
276540738,1505232685681328131
276540738,1360583444040925191
276540738,842528871111114753
276540738,1322543195058806784
276540738,1230231007304937472
276540738,771363451516096512
276540738,1315253493775572993
276540738,1554384300795219969
276540738,1487748346005630984
276540738,1581271944539901953
276540738,829787936497479682
276540738,1479110353241849868
276540738,3245970129
276540738,991748615029821440
276540738,1581908885086310401
276540738,744217228472651776
276540738,1567013070165229568
276540738,1327287777734643719
276540738,1504086731556999169
276540738,1440392889360535556
276540738,1581907145938944000
276540738,1451997703223791620
276540738,1580218721804632064
276540738,1581897976032931842
276540738,1565725941178912768
276540738,1581709924379365376
276540738,1581894176815579136
276540738,1581463169016336384
276540738,1531304711898517504
276540738,286219767
276540738,1487241439398359041
276540738,1548410542510915590
276540738,1141477992620855296
276540738,1581628818225250304
276540738,1015240935716851712
276540738,1579775334056005632
276540738,1441304874084290569
276540738,862558027055943681
276540738,1200194897212399616
276540738,1554662819613786115
276540738,855330819992190976
276540738,1524239768309096449
276540738,1326549883680034818
276540738,1581872407471542272
276540738,1205287401322618883
276540738,1581706371149561860
276540738,1338782648928448514
276540738,1151482132105191424
276540738,1581866914204327936
276540738,1488461829114195968
276540738,1493620115455283203
276540738,1570434685641129984
276540738,1579438339001700352
276540738,1526183568858152960
276540738,825708002053218308
276540738,1332147322004905984
276540738,1553044064513445888
276540738,1448104516591755271
276540738,1549188069248716801
276540738,1428197421482450950
276540738,1581707964179615745
276540738,1458588601680338945
276540738,1479249427755851777
276540738,1456449116569886730
276540738,1580981785034358797
276540738,1342581257016926211
276540738,1578165765504745472
276540738,1242621989258498048
276540738,811566149028708352
276540738,1580802151030304768
276540738,1581841701412691973
276540738,1542643930705104897
276540738,1534699745784086530
276540738,2916599961
276540738,1247406579806343168
276540738,1575858997080772608
276540738,1569405185910345728
276540738,1416382245057662979
276540738,1565226441494732800
276540738,1125991096239017985
276540738,1525055393021325312
276540738,1401623511869833225
276540738,2943178584
276540738,1334652572913856512
276540738,1581832724180082688
276540738,1581812101470986242
276540738,1495082743918694402
276540738,1386525925244817416
276540738,1480989705302953986
276540738,1564169836229541889
276540738,1350279375539867651
276540738,1380204405622906880
276540738,1483671908600008706
276540738,1571682452040466432
276540738,1510811202548600832
276540738,1581821214326198272
276540738,847382107705954306
276540738,1577471160245227520
276540738,1483731860723228674
276540738,1578412167220584448
276540738,1236688896223637504
276540738,873931335806726144
276540738,1222404631671844865
276540738,1526434413852098560
276540738,1412086857039499266
276540738,3308751065
276540738,1491149105153941505
276540738,374078475
276540738,1578192750326996992
276540738,1581752170919170050
276540738,1484779298548445184
276540738,1569055042681839616
276540738,1487651241220100096
276540738,1388153069108711427
276540738,716303412
276540738,1581773817646653440
276540738,4890361055
276540738,1107493756360671232
276540738,1581774043442827266
276540738,1228511436004970496
276540738,768333201534320640
276540738,1223380928564813830
276540738,442482877
276540738,1546587859104239620
276540738,1266457079394586624
276540738,1432180255947563013
276540738,1491160214652928005
276540738,1530851878204248065
276540738,720419113
276540738,452571914
276540738,2772232282
276540738,1423855454720036868
276540738,374446931
276540738,1581754110042316803
276540738,1578402243618947075
276540738,763682883504517120
276540738,1581738648218779648
276540738,1581743290432495616
276540738,1581744517182537729
276540738,1324027246047318022
276540738,2739972670
276540738,1481563154333282309
276540738,1541086979726708739
276540738,1474443066689966084
276540738,1578598316463603712
276540738,1369438514065141767
276540738,1564674862056349696
276540738,457894759
276540738,1366903151882887172
276540738,100018089
276540738,1581676474645504002
276540738,2918638739
276540738,1446627599699042306
276540738,1219603483059339265
276540738,1501794526158987264
